path,label
D:\datasets\quickdraw\normal_images\paper clip_347.jpg,9
D:\datasets\quickdraw\normal_images\hurricane_247.jpg,12
D:\datasets\quickdraw\normal_images\rainbow_198.jpg,11
D:\datasets\quickdraw\normal_images\hurricane_183.jpg,12
D:\datasets\quickdraw\normal_images\fork_499.jpg,4
D:\datasets\quickdraw\normal_images\watermelon_409.jpg,0
D:\datasets\quickdraw\normal_images\grass_178.jpg,1
D:\datasets\quickdraw\normal_images\hurricane_481.jpg,12
D:\datasets\quickdraw\normal_images\mushroom_148.jpg,2
D:\datasets\quickdraw\normal_images\squiggle_67.jpg,6
D:\datasets\quickdraw\normal_images\nail_386.jpg,8
D:\datasets\quickdraw\normal_images\zigzag_229.jpg,13
D:\datasets\quickdraw\normal_images\basketball_127.jpg,10
D:\datasets\quickdraw\normal_images\hurricane_489.jpg,12
D:\datasets\quickdraw\normal_images\cloud_252.jpg,7
D:\datasets\quickdraw\normal_images\zigzag_308.jpg,13
D:\datasets\quickdraw\normal_images\fork_429.jpg,4
D:\datasets\quickdraw\normal_images\ladder_115.jpg,14
D:\datasets\quickdraw\normal_images\paper clip_424.jpg,9
D:\datasets\quickdraw\normal_images\fork_152.jpg,4
D:\datasets\quickdraw\normal_images\basketball_300.jpg,10
D:\datasets\quickdraw\normal_images\fork_242.jpg,4
D:\datasets\quickdraw\normal_images\baseball_135.jpg,5
D:\datasets\quickdraw\normal_images\rainbow_327.jpg,11
D:\datasets\quickdraw\normal_images\paper clip_77.jpg,9
D:\datasets\quickdraw\normal_images\cloud_329.jpg,7
D:\datasets\quickdraw\normal_images\grass_247.jpg,1
D:\datasets\quickdraw\normal_images\mushroom_308.jpg,2
D:\datasets\quickdraw\normal_images\rainbow_177.jpg,11
D:\datasets\quickdraw\normal_images\cloud_301.jpg,7
D:\datasets\quickdraw\normal_images\paper clip_116.jpg,9
D:\datasets\quickdraw\normal_images\mushroom_256.jpg,2
D:\datasets\quickdraw\normal_images\basketball_72.jpg,10
D:\datasets\quickdraw\normal_images\paper clip_90.jpg,9
D:\datasets\quickdraw\normal_images\rainbow_246.jpg,11
D:\datasets\quickdraw\normal_images\squiggle_318.jpg,6
D:\datasets\quickdraw\normal_images\paper clip_138.jpg,9
D:\datasets\quickdraw\normal_images\grass_23.jpg,1
D:\datasets\quickdraw\normal_images\baseball_119.jpg,5
D:\datasets\quickdraw\normal_images\zigzag_111.jpg,13
D:\datasets\quickdraw\normal_images\rainbow_80.jpg,11
D:\datasets\quickdraw\normal_images\fork_45.jpg,4
D:\datasets\quickdraw\normal_images\rainbow_103.jpg,11
D:\datasets\quickdraw\normal_images\baseball_466.jpg,5
D:\datasets\quickdraw\normal_images\hurricane_432.jpg,12
D:\datasets\quickdraw\normal_images\squiggle_471.jpg,6
D:\datasets\quickdraw\normal_images\fork_164.jpg,4
D:\datasets\quickdraw\normal_images\baseball_88.jpg,5
D:\datasets\quickdraw\normal_images\baseball_406.jpg,5
D:\datasets\quickdraw\normal_images\rainbow_98.jpg,11
D:\datasets\quickdraw\normal_images\fork_388.jpg,4
D:\datasets\quickdraw\normal_images\ladder_35.jpg,14
D:\datasets\quickdraw\normal_images\rainbow_208.jpg,11
D:\datasets\quickdraw\normal_images\bush_287.jpg,3
D:\datasets\quickdraw\normal_images\baseball_263.jpg,5
D:\datasets\quickdraw\normal_images\paper clip_478.jpg,9
D:\datasets\quickdraw\normal_images\fork_21.jpg,4
D:\datasets\quickdraw\normal_images\nail_211.jpg,8
D:\datasets\quickdraw\normal_images\paper clip_490.jpg,9
D:\datasets\quickdraw\normal_images\baseball_150.jpg,5
D:\datasets\quickdraw\normal_images\basketball_299.jpg,10
D:\datasets\quickdraw\normal_images\zigzag_197.jpg,13
D:\datasets\quickdraw\normal_images\mushroom_254.jpg,2
D:\datasets\quickdraw\normal_images\zigzag_353.jpg,13
D:\datasets\quickdraw\normal_images\zigzag_397.jpg,13
D:\datasets\quickdraw\normal_images\nail_264.jpg,8
D:\datasets\quickdraw\normal_images\paper clip_200.jpg,9
D:\datasets\quickdraw\normal_images\squiggle_417.jpg,6
D:\datasets\quickdraw\normal_images\paper clip_340.jpg,9
D:\datasets\quickdraw\normal_images\grass_373.jpg,1
D:\datasets\quickdraw\normal_images\rainbow_97.jpg,11
D:\datasets\quickdraw\normal_images\nail_107.jpg,8
D:\datasets\quickdraw\normal_images\paper clip_160.jpg,9
D:\datasets\quickdraw\normal_images\paper clip_170.jpg,9
D:\datasets\quickdraw\normal_images\watermelon_397.jpg,0
D:\datasets\quickdraw\normal_images\rainbow_446.jpg,11
D:\datasets\quickdraw\normal_images\basketball_451.jpg,10
D:\datasets\quickdraw\normal_images\watermelon_140.jpg,0
D:\datasets\quickdraw\normal_images\zigzag_209.jpg,13
D:\datasets\quickdraw\normal_images\grass_345.jpg,1
D:\datasets\quickdraw\normal_images\paper clip_334.jpg,9
D:\datasets\quickdraw\normal_images\squiggle_351.jpg,6
D:\datasets\quickdraw\normal_images\paper clip_425.jpg,9
D:\datasets\quickdraw\normal_images\nail_338.jpg,8
D:\datasets\quickdraw\normal_images\grass_285.jpg,1
D:\datasets\quickdraw\normal_images\zigzag_106.jpg,13
D:\datasets\quickdraw\normal_images\watermelon_153.jpg,0
D:\datasets\quickdraw\normal_images\mushroom_375.jpg,2
D:\datasets\quickdraw\normal_images\watermelon_322.jpg,0
D:\datasets\quickdraw\normal_images\baseball_330.jpg,5
D:\datasets\quickdraw\normal_images\rainbow_342.jpg,11
D:\datasets\quickdraw\normal_images\hurricane_62.jpg,12
D:\datasets\quickdraw\normal_images\hurricane_39.jpg,12
D:\datasets\quickdraw\normal_images\hurricane_27.jpg,12
D:\datasets\quickdraw\normal_images\rainbow_50.jpg,11
D:\datasets\quickdraw\normal_images\cloud_112.jpg,7
D:\datasets\quickdraw\normal_images\basketball_250.jpg,10
D:\datasets\quickdraw\normal_images\watermelon_161.jpg,0
D:\datasets\quickdraw\normal_images\hurricane_473.jpg,12
D:\datasets\quickdraw\normal_images\paper clip_349.jpg,9
D:\datasets\quickdraw\normal_images\rainbow_111.jpg,11
D:\datasets\quickdraw\normal_images\squiggle_278.jpg,6
D:\datasets\quickdraw\normal_images\basketball_174.jpg,10
D:\datasets\quickdraw\normal_images\hurricane_167.jpg,12
D:\datasets\quickdraw\normal_images\zigzag_85.jpg,13
D:\datasets\quickdraw\normal_images\watermelon_247.jpg,0
D:\datasets\quickdraw\normal_images\baseball_279.jpg,5
D:\datasets\quickdraw\normal_images\grass_152.jpg,1
D:\datasets\quickdraw\normal_images\basketball_368.jpg,10
D:\datasets\quickdraw\normal_images\ladder_169.jpg,14
D:\datasets\quickdraw\normal_images\rainbow_109.jpg,11
D:\datasets\quickdraw\normal_images\hurricane_155.jpg,12
D:\datasets\quickdraw\normal_images\zigzag_68.jpg,13
D:\datasets\quickdraw\normal_images\basketball_31.jpg,10
D:\datasets\quickdraw\normal_images\baseball_7.jpg,5
D:\datasets\quickdraw\normal_images\hurricane_258.jpg,12
D:\datasets\quickdraw\normal_images\bush_474.jpg,3
D:\datasets\quickdraw\normal_images\cloud_211.jpg,7
D:\datasets\quickdraw\normal_images\nail_463.jpg,8
D:\datasets\quickdraw\normal_images\watermelon_206.jpg,0
D:\datasets\quickdraw\normal_images\basketball_285.jpg,10
D:\datasets\quickdraw\normal_images\zigzag_383.jpg,13
D:\datasets\quickdraw\normal_images\rainbow_77.jpg,11
D:\datasets\quickdraw\normal_images\bush_372.jpg,3
D:\datasets\quickdraw\normal_images\rainbow_141.jpg,11
D:\datasets\quickdraw\normal_images\cloud_266.jpg,7
D:\datasets\quickdraw\normal_images\basketball_169.jpg,10
D:\datasets\quickdraw\normal_images\paper clip_447.jpg,9
D:\datasets\quickdraw\normal_images\fork_138.jpg,4
D:\datasets\quickdraw\normal_images\rainbow_371.jpg,11
D:\datasets\quickdraw\normal_images\mushroom_365.jpg,2
D:\datasets\quickdraw\normal_images\baseball_436.jpg,5
D:\datasets\quickdraw\normal_images\mushroom_115.jpg,2
D:\datasets\quickdraw\normal_images\bush_273.jpg,3
D:\datasets\quickdraw\normal_images\bush_368.jpg,3
D:\datasets\quickdraw\normal_images\zigzag_26.jpg,13
D:\datasets\quickdraw\normal_images\baseball_92.jpg,5
D:\datasets\quickdraw\normal_images\nail_119.jpg,8
D:\datasets\quickdraw\normal_images\paper clip_381.jpg,9
D:\datasets\quickdraw\normal_images\ladder_76.jpg,14
D:\datasets\quickdraw\normal_images\watermelon_419.jpg,0
D:\datasets\quickdraw\normal_images\fork_105.jpg,4
D:\datasets\quickdraw\normal_images\ladder_151.jpg,14
D:\datasets\quickdraw\normal_images\bush_270.jpg,3
D:\datasets\quickdraw\normal_images\zigzag_391.jpg,13
D:\datasets\quickdraw\normal_images\watermelon_456.jpg,0
D:\datasets\quickdraw\normal_images\fork_43.jpg,4
D:\datasets\quickdraw\normal_images\ladder_398.jpg,14
D:\datasets\quickdraw\normal_images\baseball_76.jpg,5
D:\datasets\quickdraw\normal_images\watermelon_203.jpg,0
D:\datasets\quickdraw\normal_images\basketball_41.jpg,10
D:\datasets\quickdraw\normal_images\watermelon_289.jpg,0
D:\datasets\quickdraw\normal_images\basketball_467.jpg,10
D:\datasets\quickdraw\normal_images\rainbow_251.jpg,11
D:\datasets\quickdraw\normal_images\ladder_256.jpg,14
D:\datasets\quickdraw\normal_images\zigzag_334.jpg,13
D:\datasets\quickdraw\normal_images\zigzag_324.jpg,13
D:\datasets\quickdraw\normal_images\basketball_97.jpg,10
D:\datasets\quickdraw\normal_images\baseball_433.jpg,5
D:\datasets\quickdraw\normal_images\ladder_123.jpg,14
D:\datasets\quickdraw\normal_images\rainbow_119.jpg,11
D:\datasets\quickdraw\normal_images\fork_44.jpg,4
D:\datasets\quickdraw\normal_images\nail_389.jpg,8
D:\datasets\quickdraw\normal_images\cloud_407.jpg,7
D:\datasets\quickdraw\normal_images\squiggle_480.jpg,6
D:\datasets\quickdraw\normal_images\paper clip_278.jpg,9
D:\datasets\quickdraw\normal_images\cloud_127.jpg,7
D:\datasets\quickdraw\normal_images\paper clip_343.jpg,9
D:\datasets\quickdraw\normal_images\nail_270.jpg,8
D:\datasets\quickdraw\normal_images\watermelon_75.jpg,0
D:\datasets\quickdraw\normal_images\baseball_99.jpg,5
D:\datasets\quickdraw\normal_images\fork_121.jpg,4
D:\datasets\quickdraw\normal_images\hurricane_53.jpg,12
D:\datasets\quickdraw\normal_images\paper clip_219.jpg,9
D:\datasets\quickdraw\normal_images\zigzag_409.jpg,13
D:\datasets\quickdraw\normal_images\squiggle_367.jpg,6
D:\datasets\quickdraw\normal_images\hurricane_324.jpg,12
D:\datasets\quickdraw\normal_images\mushroom_87.jpg,2
D:\datasets\quickdraw\normal_images\fork_53.jpg,4
D:\datasets\quickdraw\normal_images\cloud_479.jpg,7
D:\datasets\quickdraw\normal_images\fork_137.jpg,4
D:\datasets\quickdraw\normal_images\grass_494.jpg,1
D:\datasets\quickdraw\normal_images\watermelon_429.jpg,0
D:\datasets\quickdraw\normal_images\ladder_382.jpg,14
D:\datasets\quickdraw\normal_images\basketball_82.jpg,10
D:\datasets\quickdraw\normal_images\cloud_64.jpg,7
