path,label
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\U-shaped_JA_0001.png,11
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\curly_FE_0009.png,1
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\folded_RY_0004.png,10
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\zigzag_SP_0002.png,6
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\pointy_ACW_0001.png,13
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\pointy_DB_0015.png,13
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\curly_SP_0001.png,1
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\pointy_DB_0013.png,13
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\mushroom-shaped_SP_0002.png,12
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\bumpy_JA_0001.png,5
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\zigzag_JM_0001.png,6
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\V-shaped_RY_0004.png,2
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\spiral_ACW_0003.png,7
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\V-shaped_SP_0001.png,2
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\zigzag_MK_0003.png,6
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\spiky_JM_0001.png,4
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\bumpy_TM_0005.png,5
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\U-shaped_RY_0004.png,11
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\pointy_RY_0001.png,13
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\bumpy_ACW_0001.png,5
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\forked_RY_0004.png,9
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\spiral_DB_0010.png,7
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\spiky_DB_0005.png,4
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\curvy_TM_0002.png,3
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\pointy_JA_0001.png,13
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\squiggly_ACW_0004.png,8
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\mushroom-shaped_DB_0015.png,12
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\folded_ACW_0001.png,10
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\zigzag_ACW_0003.png,6
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\pointy_DB_0011.png,13
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\curvy_XW_0001.png,3
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\spiky_DB_0006.png,4
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\curly_JA_0001.png,1
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\forked_SP_0002.png,9
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\mushroom-shaped_XW_0001.png,12
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\spiky_ACW_0002.png,4
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\folded_SP_0001.png,10
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\U-shaped_ACW_0003.png,11
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\spiral_SP_0001.png,7
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\spiral_XW_0001.png,7
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\bumpy_DB_0012.png,5
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\forked_DB_0012.png,9
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\keyhole-shaped_SP_0002.png,0
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\zigzag_MK_0002.png,6
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\curly_ACW_0001.png,1
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\zigzag_DB_0012.png,6
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\bumpy_XW_0001.png,5
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\spiral_ACW_0002.png,7
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\curvy_DB_0011.png,3
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\squiggly_JA_0001.png,8
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\keyhole-shaped_JS_0010.png,0
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\keyhole-shaped_ACW_0001.png,0
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\squiggly_DB_0008.png,8
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\spiral_TM_0005.png,7
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\keyholeshaped_JA_0001.png,0
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\spiky_ACW_0001.png,4
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\squiggly_ACW_0001.png,8
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\bumpy_ACW_0004.png,5
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\keyholeshaped_JB_001.png,0
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\zigzag_TM_0005.png,6
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\pointy_ACW_0004.png,13
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\zigzag_JA_0001.png,6
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\curly_XW_0001.png,1
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\keyhole-shaped_ACW_0004.png,0
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\spiral_SP_0004.png,7
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\forked_ACW_0002.png,9
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\mushroom-shaped_ACW_0001.png,12
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\zigzag_SP_0001.png,6
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\squiggly_SP_0001.png,8
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\spiky_SP_0002.png,4
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\mushroom-shaped_RY_0001.png,12
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\squiggly_DB_0007.png,8
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\spiky_DB_0007.png,4
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\zigzag_JB_001.png,6
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\curly_ACW_0004.png,1
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\keyhole-shaped_RY_0001.png,0
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\curly_ACW_0002.png,1
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\zigzag_DB_0013.png,6
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\folded_JS_0010.png,10
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\folded_JM_0001.png,10
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\zigzag_DB_0014.png,6
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\curly_MK_0002.png,1
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\folded_DB_0011.png,10
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\spiral_DB_0013.png,7
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\squiggly_MK_0003.png,8
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\forked_JA_0001.png,9
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\mushroom-shaped_JM_0001.png,12
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\forked_JM_0001.png,9
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\spiral_SP_0002.png,7
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\pointy_JS_0010.png,13
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\squiggly_JB_001.png,8
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\spiral_FE_0009.png,7
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\zigzag_ACW_0002.png,6
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\folded_DB_0015.png,10
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\spiral_ACW_0001.png,7
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\zigzag_MK_0001.png,6
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\squiggly_DB_0010.png,8
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\V-shaped_FE_0009.png,2
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\mushroom-shaped_DB_0011.png,12
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\curly_SP_0003.png,1
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\pointy_ACW_0003.png,13
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\curvy_ACW_0001.png,3
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\mushroom-shaped_JS_0010.png,12
C:\Users\yangy\Documents\ComputerVision\AIVAS\shape_project\data\ShapesDataset\V-shaped_ACW_0004.png,2
